%time,field.data
1631034878100514964,SP2
1631034878101771925,SP3
1631034878102494152,SP4
1631034878103205248,SP5
1631034878103972474,1
1631034878104629385,2
1631034878105295432,3
1631034878106003559,4
1631034878106757736,5
1631034878107344900,6
1631034878107910807,7
1631034878108446983,8
1631034878108967602,9
1631034878109488137,10
1631034878110007498,11
1631034878110512017,12
1631034878111047324,13
1631034878111589344,14
1631034878112032564,15
1631034878112398644,16
1631034878132429636,17
1631034878133258344,18
1631034878134092995,SP1
1631034878134880268,SP3
1631034878135638898,SP4
1631034878136410804,SP5
1631034878137146190,1
1631034878137958262,2
1631034878138766968,3
1631034878139600017,4
1631034878140370212,5
1631034878141141331,6
1631034878141906369,7
1631034878142695364,8
1631034878143508362,9
1631034878144263002,10
1631034878145041453,11
1631034878145837207,12
1631034878146590271,13
1631034878147175809,14
1631034878147713697,15
1631034878148316946,16
1631034878148924180,17
1631034878149546265,18
1631034878150152603,SP1
1631034878150709415,SP2
1631034878151296008,SP4
1631034878151864603,SP5
1631034878152309331,1
1631034878152780739,2
1631034878153280437,3
1631034878153752126,4
1631034878154167090,5
1631034878154576605,6
1631034878154991024,7
1631034878155401602,8
1631034878155815649,9
1631034878156238706,10
1631034878156623003,11
1631034878156993453,12
1631034878157332024,13
1631034878157676694,14
1631034878158002556,15
1631034878158345830,16
1631034878158687148,17
1631034878159035112,18
1631034878159371800,SP1
1631034878159703691,SP2
1631034878160057480,SP3
1631034878160385359,SP5
1631034878160718740,1
1631034878161047538,2
1631034878161375104,3
1631034878161745301,4
1631034878162025552,5
1631034878162305417,6
1631034878162579908,7
1631034878162856383,8
1631034878163129991,9
1631034878163400373,10
1631034878163679129,11
1631034878170081055,12
1631034878170352532,13
1631034878170607964,14
1631034878170858770,15
1631034878171109236,16
1631034878171367203,17
1631034878171617070,18
1631034878171894316,SP1
1631034878172260473,SP2
1631034878172460008,SP3
1631034878172679236,SP4
1631034878172899820,1
1631034878173121998,2
1631034878173349418,3
1631034878173566489,4
1631034878173777434,5
1631034878174001753,6
1631034878174225435,7
1631034878174429820,8
1631034878174651469,9
1631034878174885581,10
1631034878175113587,11
1631034878175338892,12
1631034878175563381,13
1631034878175765872,14
1631034878176002476,15
1631034878176224214,16
1631034878176435878,17
1631034878176662734,18
1631034878176874490,SP1
1631034878177077034,SP2
1631034878177280045,SP3
1631034878177510972,SP4
1631034878177687678,SP5
1631034878177889177,2
1631034878178098213,3
1631034878178302525,4
1631034878178488326,5
1631034878178684651,6
1631034878178889858,7
1631034878179090987,8
1631034878179270590,9
1631034878179451757,10
1631034878179660140,11
1631034878179870030,12
1631034878180072500,13
1631034878180296633,14
1631034878180509417,15
1631034878180704050,16
1631034878180908627,17
1631034878181108236,18
1631034878181314558,SP1
1631034878181513621,SP2
1631034878181729243,SP3
1631034878181914350,SP4
1631034878182108126,SP5
1631034878182287366,1
1631034878182472316,3
1631034878182658622,4
1631034878182843309,5
1631034878183029108,6
1631034878183214832,7
1631034878183401313,8
1631034878183587014,9
1631034878183781816,10
1631034878183979808,11
1631034878184140364,12
1631034878184324898,13
1631034878184510763,14
1631034878184695701,15
1631034878184891374,16
1631034878185079919,17
1631034878185271694,18
1631034878185477991,SP1
1631034878185653636,SP2
1631034878185848190,SP3
1631034878186035254,SP4
1631034878186223351,SP5
1631034878186433769,1
1631034878186605400,2
1631034878186769593,4
1631034878186947936,5
1631034878187126516,6
1631034878187312106,7
1631034878187497793,8
1631034878187698342,9
1631034878187898322,10
1631034878188067681,11
1631034878188222974,12
1631034878188397914,13
1631034878188560628,14
1631034878188730640,15
1631034878189236648,16
1631034878189394992,17
1631034878189573252,18
1631034878189768432,SP1
1631034878189956849,SP2
1631034878190141270,SP3
1631034878190297093,SP4
1631034878190484128,SP5
1631034878190650189,1
1631034878190839302,2
1631034878191030933,3
1631034878191229095,5
1631034878191419449,6
1631034878191605632,7
1631034878191791103,8
1631034878191988569,9
1631034878192155143,10
1631034878192342674,11
1631034878192529509,12
1631034878192698541,13
1631034878192877641,14
1631034878193057320,15
1631034878193222547,16
1631034878193405633,17
1631034878193621884,18
1631034878193813255,SP1
1631034878193999393,SP2
1631034878194185611,SP3
1631034878194366738,SP4
1631034878194549151,SP5
1631034878194739938,1
1631034878194928825,2
1631034878195110452,3
1631034878195286698,4
1631034878195474644,6
1631034878195656493,7
1631034878195851139,8
1631034878196045043,9
1631034878196227493,10
1631034878196414542,11
1631034878196602434,12
1631034878196790501,13
1631034878196977728,14
1631034878197123562,15
1631034878197309335,16
1631034878197490589,17
1631034878197679597,18
1631034878197873831,SP1
1631034878198060776,SP2
1631034878198248267,SP3
1631034878198437585,SP4
1631034878198623520,SP5
1631034878198809561,1
1631034878198994700,2
1631034878199177547,3
1631034878199363886,4
1631034878199543413,5
1631034878199724547,7
1631034878199909375,8
1631034878200088688,9
1631034878200266153,10
1631034878200442432,11
1631034878200615765,12
1631034878200794081,13
1631034878200971087,14
1631034878201147715,15
1631034878216648683,16
1631034878216823221,17
1631034878217016229,18
1631034878217217679,SP1
1631034878217383052,SP2
1631034878217593732,SP3
1631034878217778105,SP4
1631034878217968602,SP5
1631034878218158416,1
1631034878218350583,2
1631034878218529366,3
1631034878218717660,4
1631034878218874411,5
1631034878219056589,6
1631034878219242149,8
1631034878219433431,9
1631034878219621249,10
1631034878219796070,11
1631034878220026139,12
1631034878220212215,13
1631034878220404341,14
1631034878220576525,15
1631034878220767425,16
1631034878220957382,17
1631034878221145636,18
1631034878221334581,SP1
1631034878221523778,SP2
1631034878221709062,SP3
1631034878221884974,SP4
1631034878222070253,SP5
1631034878222258040,1
1631034878222445617,2
1631034878222634055,3
1631034878222819872,4
1631034878223002922,5
1631034878223183544,6
1631034878223369876,7
1631034878223539735,9
1631034878223724171,10
1631034878223910565,11
1631034878224081420,12
1631034878224265736,13
1631034878224452559,14
1631034878224636906,15
1631034878224824021,16
1631034878225013323,17
1631034878225183710,18
1631034878225388180,SP1
1631034878225551089,SP2
1631034878225741195,SP3
1631034878225933231,SP4
1631034878226110164,SP5
1631034878226274616,1
1631034878226431206,2
1631034878226611713,3
1631034878226798493,4
1631034878226984729,5
1631034878227171463,6
1631034878227339787,7
1631034878227530091,8
1631034878227716222,10
1631034878227906473,11
1631034878228085880,12
1631034878228271745,13
1631034878228460873,14
1631034878228647610,15
1631034878228835500,16
1631034878229021168,17
1631034878229207894,18
1631034878229394622,SP1
1631034878229571667,SP2
1631034878229745257,SP3
1631034878229922587,SP4
1631034878230115012,SP5
1631034878230296222,1
1631034878230492034,2
1631034878230684627,3
1631034878230874173,4
1631034878231069656,5
1631034878231247089,6
1631034878231438515,7
1631034878231628107,8
1631034878231813445,9
1631034878231981687,11
1631034878232155834,12
1631034878232349046,13
1631034878232540537,14
1631034878232718874,15
1631034878232908183,16
1631034878233092200,17
1631034878233283461,18
1631034878233496039,SP1
1631034878233653810,SP2
1631034878233842092,SP3
1631034878234027636,SP4
1631034878234214212,SP5
1631034878234398960,1
1631034878234588074,2
1631034878234778565,3
1631034878234965908,4
1631034878235155468,5
1631034878235338871,6
1631034878235527883,7
1631034878235688823,8
1631034878235881509,9
1631034878236059556,10
1631034878236270481,12
1631034878236458390,13
1631034878236646558,14
1631034878236823951,15
1631034878237009036,16
1631034878237190124,17
1631034878237374583,18
1631034878237558675,SP1
1631034878237724125,SP2
1631034878237912690,SP3
1631034878238094075,SP4
1631034878238251352,SP5
1631034878238440029,1
1631034878238939492,2
1631034878239118829,3
1631034878239288119,4
1631034878239461282,5
1631034878239649134,6
1631034878239839366,7
1631034878239993708,8
1631034878240163425,9
1631034878240349389,10
1631034878240518167,11
1631034878240701335,13
1631034878240883887,14
1631034878241057388,15
1631034878241221335,16
1631034878241420643,17
1631034878241635816,18
1631034878241834052,SP1
1631034878242023195,SP2
1631034878242209990,SP3
1631034878242386122,SP4
1631034878242602533,SP5
1631034878242819160,1
1631034878243009128,2
1631034878243182083,3
1631034878243346138,4
1631034878243556424,5
1631034878243775013,6
1631034878243999768,7
1631034878244208915,8
1631034878244430055,9
1631034878244621450,10
1631034878244829883,11
1631034878245056657,12
1631034878245256516,14
1631034878245476747,15
1631034878245689922,16
1631034878245913927,17
1631034878246126662,18
1631034878246320891,SP1
1631034878246507620,SP2
1631034878246688247,SP3
1631034878246866827,SP4
1631034878247068971,SP5
1631034878247279647,1
1631034878247494476,2
1631034878247684359,3
1631034878247873452,4
1631034878248070092,5
1631034878265160439,6
1631034878265379745,7
1631034878265582607,8
1631034878265803297,9
1631034878266032017,10
1631034878266254017,11
1631034878266474201,12
1631034878266697523,13
1631034878266915582,15
1631034878267135506,16
1631034878267342260,17
1631034878267560663,18
1631034878267781558,SP1
1631034878267984677,SP2
1631034878268207448,SP3
1631034878268427933,SP4
1631034878268655449,SP5
1631034878268877643,1
1631034878269103439,2
1631034878269274775,3
1631034878269464579,4
1631034878269635261,5
1631034878269859710,6
1631034878270080910,7
1631034878270280009,8
1631034878270497261,9
1631034878270720789,10
1631034878270936119,11
1631034878271148591,12
1631034878271347948,13
1631034878271534355,14
1631034878271718339,16
1631034878271909281,17
1631034878272116907,18
1631034878272332597,SP1
1631034878272553214,SP2
1631034878272768541,SP3
1631034878272979939,SP4
1631034878273199460,SP5
1631034878273438548,1
1631034878273636755,2
1631034878273827955,3
1631034878274016148,4
1631034878274203889,5
1631034878274387141,6
1631034878274553469,7
1631034878274743477,8
1631034878274929357,9
1631034878275120960,10
1631034878275304123,11
1631034878275490723,12
1631034878275676490,13
1631034878275874493,14
1631034878276059621,15
1631034878276246032,17
1631034878276436770,18
1631034878276605114,SP1
1631034878276793019,SP2
1631034878276979475,SP3
1631034878277161581,SP4
1631034878277332038,SP5
1631034878277513436,1
1631034878277706991,2
1631034878277889863,3
1631034878278077166,4
1631034878278259925,5
1631034878278444042,6
1631034878278629360,7
1631034878278820815,8
1631034878279008185,9
1631034878279172779,10
1631034878279330252,11
1631034878279518245,12
1631034878279706003,13
1631034878279896294,14
1631034878280107740,15
1631034878280297789,16
1631034878280485111,18
1631034878280671847,SP1
1631034878280863011,SP2
1631034878281035037,SP3
1631034878281222936,SP4
1631034878281419731,SP5
1631034878281611189,1
1631034878281798879,2
1631034878281960417,3
1631034878282150602,4
1631034878282343572,5
1631034878282515228,6
1631034878282702405,7
1631034878282881253,8
1631034878283060959,9
1631034878283249083,10
1631034878283438727,11
1631034878283623642,12
1631034878283792830,13
1631034878283984909,14
1631034878284172558,15
1631034878284359915,16
1631034878284546044,17
